20230506-183234(best_acc0.854504779402216), lr:0.001, alpha:0.1,                   corr=0.854504779402216(0.0016616329633160674) 
20230506-183414(best_acc0.8550292438907935), lr:0.001, alpha:0.5,                   corr=0.8550292438907935(0.0011680605206507752) 
20230506-183554(best_acc0.8550292438907935), lr:0.001, alpha:0.9,                   corr=0.8546206847356679(0.0010051190333514469) 
20230506-183733(best_acc0.8550292438907935), lr:0.005, alpha:0.1,                   corr=0.8544241839415652(0.001526489210701792) 
20230506-183913(best_acc0.8550292438907935), lr:0.005, alpha:0.5,                   corr=0.8541181278200956(0.0012951008315999113) 
20230506-184055(best_acc0.8550292438907935), lr:0.005, alpha:0.9,                   corr=0.8547107170505557(0.0011688188868579147) 
20230506-184234(best_acc0.8550292438907935), lr:0.01, alpha:0.1,                   corr=0.8545024913085818(0.0012670858500682882) 
20230506-184415(best_acc0.8550292438907935), lr:0.01, alpha:0.5,                   corr=0.8544141319963519(0.0011894719503366083) 
20230506-184555(best_acc0.8552253398073368), lr:0.01, alpha:0.9,                   corr=0.8552253398073368(0.0011174363607408186) 
20230506-184735(best_acc0.8552253398073368), lr:0.05, alpha:0.1,                   corr=0.8549424596502566(0.001396736611276678) 
20230506-184916(best_acc0.8552253398073368), lr:0.05, alpha:0.5,                   corr=0.8549814490701817(0.001057393193046582) 
20230506-185056(best_acc0.8552253398073368), lr:0.05, alpha:0.9,                   corr=0.8546753178738487(0.001346309415320955) 
