20230506-185347(best_acc0.8290552324232652), lr:0.001, alpha:0.1,                   corr=0.8290552324232652(0.0015096061330300613) 
20230506-185637(best_acc0.829379508780552), lr:0.001, alpha:0.5,                   corr=0.829379508780552(0.0013666678544659787) 
20230506-185927(best_acc0.829379508780552), lr:0.001, alpha:0.9,                   corr=0.8261607230879839(0.0014837921834102723) 
20230506-190216(best_acc0.8305121682601172), lr:0.005, alpha:0.1,                   corr=0.8305121682601172(0.0011955763005086833) 
20230506-190508(best_acc0.8305121682601172), lr:0.005, alpha:0.5,                   corr=0.8279763678194753(0.0019505313573704745) 
20230506-190757(best_acc0.8305121682601172), lr:0.005, alpha:0.9,                   corr=0.8257758877278605(0.0013543796802633614) 
20230506-191046(best_acc0.8305121682601172), lr:0.01, alpha:0.1,                   corr=0.8276084612003517(0.002195896619578175) 
20230506-191335(best_acc0.8305121682601172), lr:0.01, alpha:0.5,                   corr=0.827799264966431(0.0017678261774181712) 
20230506-191623(best_acc0.8305121682601172), lr:0.01, alpha:0.9,                   corr=0.8253210180518289(0.0009474738483145397) 
20230506-191913(best_acc0.8305121682601172), lr:0.05, alpha:0.1,                   corr=0.8258886690890506(0.002639645165371178) 
20230506-192202(best_acc0.8305121682601172), lr:0.05, alpha:0.5,                   corr=0.826084649285221(0.0019157105034421512) 
20230506-192452(best_acc0.8305121682601172), lr:0.05, alpha:0.9,                   corr=0.8236751888297977(0.001232259195194818) 
