20230506-171336(best_acc0.6829999853593532), lr:0.001, alpha:0.1,                   corr=0.6829999853593532(0.0023640252204319132) 
20230506-171629(best_acc0.6849464837618578), lr:0.001, alpha:0.5,                   corr=0.6849464837618578(0.0015543975391204977) 
20230506-171920(best_acc0.6849464837618578), lr:0.001, alpha:0.9,                   corr=0.6756329856537188(0.004801818284672962) 
20230506-172211(best_acc0.6849792159576682), lr:0.005, alpha:0.1,                   corr=0.6849792159576682(0.0019126878283992229) 
20230506-172501(best_acc0.6849792159576682), lr:0.005, alpha:0.5,                   corr=0.6839562407204441(0.001321624746671578) 
20230506-172752(best_acc0.6849792159576682), lr:0.005, alpha:0.9,                   corr=0.6754428991269277(0.006791358836170467) 
20230506-173043(best_acc0.6850299677998752), lr:0.01, alpha:0.1,                   corr=0.6850299677998752(0.0012775423594977246) 
20230506-173334(best_acc0.6850299677998752), lr:0.01, alpha:0.5,                   corr=0.6817058276186848(0.0016401911924520105) 
20230506-173624(best_acc0.6850299677998752), lr:0.01, alpha:0.9,                   corr=0.6720668855810684(0.002675837305216899) 
20230506-173913(best_acc0.6850299677998752), lr:0.05, alpha:0.1,                   corr=0.6812098684730502(0.0023314208793537607) 
20230506-174203(best_acc0.6850299677998752), lr:0.05, alpha:0.5,                   corr=0.6795042543693313(0.0033529216960805613) 
20230506-174452(best_acc0.6850299677998752), lr:0.05, alpha:0.9,                   corr=0.67180418065133(0.0034428535516266233) 
