20230506-084928(best_acc0.22082090665223125), lr:0.001, alpha:0.1,                   corr=0.22082090665223125(0.003819639529862701) 
20230506-085302(best_acc0.21947679709524212), lr:0.001, alpha:0.1,                   corr=0.21947679709524212(0.0014398782058993938) 
20230506-085441(best_acc0.21947679709524212), lr:0.001, alpha:0.5,                   corr=0.21880826489835878(0.0027638748975943785) 
20230506-085621(best_acc0.21959601010394728), lr:0.001, alpha:0.9,                   corr=0.21959601010394728(0.0023863920860484004) 
20230506-085800(best_acc0.22098415716997444), lr:0.005, alpha:0.1,                   corr=0.22098415716997444(0.001491715166877119) 
20230506-085939(best_acc0.22530214686578914), lr:0.005, alpha:0.5,                   corr=0.22530214686578914(0.013773676689730592) 
20230506-090119(best_acc0.2279944397102172), lr:0.005, alpha:0.9,                   corr=0.2279944397102172(0.017251970609239997) 
20230506-090259(best_acc0.2279944397102172), lr:0.01, alpha:0.1,                   corr=0.22013581284113393(0.0030039990335860647) 
20230506-090441(best_acc0.2381446417418407), lr:0.01, alpha:0.5,                   corr=0.2381446417418407(0.017320328256817927) 
20230506-090621(best_acc0.2466957967810491), lr:0.01, alpha:0.9,                   corr=0.2466957967810491(0.01755838009761112) 
20230506-090800(best_acc0.25564782017047877), lr:0.05, alpha:0.1,                   corr=0.25564782017047877(0.00988930201073457) 
20230506-090940(best_acc0.25782643384987064), lr:0.05, alpha:0.5,                   corr=0.25782643384987064(0.004168741743690009) 
20230506-091119(best_acc0.25782643384987064), lr:0.05, alpha:0.9,                   corr=0.24617320102730708(0.019538580114849335) 
