20230506-113055(best_acc0.5029738171336077), lr:0.001, alpha:0.1,                   corr=0.5029738171336077(0.0038030425126582283) 
20230506-113446(best_acc0.5109116857060922), lr:0.001, alpha:0.5,                   corr=0.5109116857060922(0.00857065949074932) 
20230506-113837(best_acc0.5109116857060922), lr:0.001, alpha:0.9,                   corr=0.5081642899561574(0.0047553146473058) 
20230506-114229(best_acc0.5162860565636483), lr:0.005, alpha:0.1,                   corr=0.5162860565636483(0.012104551253746576) 
20230506-114620(best_acc0.5240915762108014), lr:0.005, alpha:0.5,                   corr=0.5240915762108014(0.013812515183542814) 
20230506-115011(best_acc0.5342998178475761), lr:0.005, alpha:0.9,                   corr=0.5342998178475761(0.007485456273565692) 
20230506-115402(best_acc0.5342998178475761), lr:0.01, alpha:0.1,                   corr=0.5327491759418684(0.02109708875863253) 
20230506-115754(best_acc0.5484521673562371), lr:0.01, alpha:0.5,                   corr=0.5484521673562371(0.020375325187942953) 
20230506-120145(best_acc0.5526609187686341), lr:0.01, alpha:0.9,                   corr=0.5526609187686341(0.012673477843890089) 
20230506-120536(best_acc0.5652422203649758), lr:0.05, alpha:0.1,                   corr=0.5652422203649758(0.007223348702658278) 
20230506-120927(best_acc0.5652422203649758), lr:0.05, alpha:0.5,                   corr=0.5613019446849463(0.017942745510167602) 
20230506-121318(best_acc0.5652422203649758), lr:0.05, alpha:0.9,                   corr=0.5512211345039921(0.01606904458114972) 
