20230505-220008(best_acc0.36671477813775294), lr:0.005, alpha:0.1,                   corr=0.36671477813775294(0.00450077887017135) 
20230505-220830(best_acc0.3638607675103381), lr:0.005, alpha:0.5,                   corr=0.3638607675103381(0.007714426677590033) 
20230505-221652(best_acc0.36463374206900284), lr:0.005, alpha:0.9,                   corr=0.36463374206900284(0.009110834298599333) 
20230505-222515(best_acc0.3598830754242026), lr:0.001, alpha:0.1,                   corr=0.3598830754242026(0.0033287563183831163) 
20230505-223337(best_acc0.36296433064719624), lr:0.001, alpha:0.5,                   corr=0.36296433064719624(0.004545583328189398) 
20230505-224200(best_acc0.36088301182671373), lr:0.001, alpha:0.9,                   corr=0.36088301182671373(0.0025199496123834526) 
20230505-225022(best_acc0.3740832384210619), lr:0.01, alpha:0.1,                   corr=0.3740832384210619(0.007745492066100232) 
20230505-225844(best_acc0.37121924098424963), lr:0.01, alpha:0.5,                   corr=0.37121924098424963(0.012256250880468056) 
20230505-230707(best_acc0.3820272070513043), lr:0.01, alpha:0.9,                   corr=0.3820272070513043(0.01416085968573987) 
20230505-231528(best_acc0.3820224745446793), lr:0.05, alpha:0.1,                   corr=0.3820224745446793(0.012290923078830434) 
20230505-232350(best_acc0.3801118248371062), lr:0.05, alpha:0.5,                   corr=0.3801118248371062(0.012848955418971866) 
20230505-233212(best_acc0.3730373444281294), lr:0.05, alpha:0.9,                   corr=0.3730373444281294(0.013911642126355121) 
20230506-091409(best_acc0.35839506338253946), lr:0.001, alpha:0.1,                   corr=0.35839506338253946(0.0027497316005952077) 
20230506-091701(best_acc0.3622782713482022), lr:0.001, alpha:0.5,                   corr=0.3622782713482022(0.004207975401697073) 
20230506-091952(best_acc0.36233572801645725), lr:0.001, alpha:0.9,                   corr=0.36233572801645725(0.004762351908439097) 
20230506-092243(best_acc0.36803450572034085), lr:0.005, alpha:0.1,                   corr=0.36803450572034085(0.0032551516894714977) 
20230506-092534(best_acc0.36803450572034085), lr:0.005, alpha:0.5,                   corr=0.3645278440934388(0.009286293121124311) 
20230506-092826(best_acc0.36803450572034085), lr:0.005, alpha:0.9,                   corr=0.36782746824424023(0.010668394357938068) 
20230506-093116(best_acc0.37123751750392026), lr:0.01, alpha:0.1,                   corr=0.37123751750392026(0.0037197549494450252) 
20230506-093408(best_acc0.37453132124500976), lr:0.01, alpha:0.5,                   corr=0.37453132124500976(0.01236296110324941) 
20230506-093700(best_acc0.3852473667317017), lr:0.01, alpha:0.9,                   corr=0.3852473667317017(0.010946825269111223) 
20230506-093952(best_acc0.3852473667317017), lr:0.05, alpha:0.1,                   corr=0.3794718234844853(0.0113869285043258) 
20230506-094245(best_acc0.3852473667317017), lr:0.05, alpha:0.5,                   corr=0.38336763853908334(0.014409056867916745) 
20230506-094536(best_acc0.3852473667317017), lr:0.05, alpha:0.9,                   corr=0.3795306277429403(0.01569188099614338) 
