20230506-155714(best_acc0.5049282921912807), lr:0.001, alpha:0.1,                   corr=0.5049282921912807(0.001796204185467674) 
20230506-160007(best_acc0.5049282921912807), lr:0.001, alpha:0.5,                   corr=0.5042130488157806(0.003348570476219923) 
20230506-160258(best_acc0.5087646278924585), lr:0.001, alpha:0.9,                   corr=0.5087646278924585(0.002009264562369712) 
20230506-160549(best_acc0.5087646278924585), lr:0.005, alpha:0.1,                   corr=0.505844701663192(0.004653024026230345) 
20230506-160856(best_acc0.514704973822038), lr:0.005, alpha:0.5,                   corr=0.514704973822038(0.010802437712343705) 
20230506-161202(best_acc0.514704973822038), lr:0.005, alpha:0.9,                   corr=0.5104813118526713(0.0019504817149052281) 
20230506-161508(best_acc0.514704973822038), lr:0.01, alpha:0.1,                   corr=0.5079645707534226(0.004901721611501638) 
20230506-161814(best_acc0.524500660618499), lr:0.01, alpha:0.5,                   corr=0.524500660618499(0.01569392072326058) 
20230506-162120(best_acc0.5293475560506717), lr:0.01, alpha:0.9,                   corr=0.5293475560506717(0.02087632414437638) 
20230506-162429(best_acc0.557553209669152), lr:0.05, alpha:0.1,                   corr=0.557553209669152(0.014583676649641783) 
20230506-162735(best_acc0.5624551325567866), lr:0.05, alpha:0.5,                   corr=0.5624551325567866(0.005456472560861042) 
20230506-163041(best_acc0.5624551325567866), lr:0.05, alpha:0.9,                   corr=0.559379152180202(0.013685912455316352) 
