20230506-103403(best_acc0.3588927057292869), lr:0.001, alpha:0.1,                   corr=0.3588927057292869(0.0033085147027173867) 
20230506-103544(best_acc0.3593251480757719), lr:0.001, alpha:0.5,                   corr=0.3593251480757719(0.0017117040745155791) 
20230506-103725(best_acc0.3613499342676071), lr:0.001, alpha:0.9,                   corr=0.3613499342676071(0.0022320575943849947) 
20230506-103906(best_acc0.3750791338590875), lr:0.005, alpha:0.1,                   corr=0.3750791338590875(0.02465260476190789) 
20230506-104047(best_acc0.387526821925378), lr:0.005, alpha:0.5,                   corr=0.387526821925378(0.031657721157765266) 
20230506-104228(best_acc0.4018742473641364), lr:0.005, alpha:0.9,                   corr=0.4018742473641364(0.03151931337742675) 
20230506-104410(best_acc0.4018742473641364), lr:0.01, alpha:0.1,                   corr=0.3826719708090509(0.03110786553845092) 
20230506-104551(best_acc0.41655005503079084), lr:0.01, alpha:0.5,                   corr=0.41655005503079084(0.027589635827745356) 
20230506-104732(best_acc0.41655005503079084), lr:0.01, alpha:0.9,                   corr=0.4143526935561998(0.027723984432416214) 
20230506-104914(best_acc0.43840423383493876), lr:0.05, alpha:0.1,                   corr=0.43840423383493876(0.0018202419961392895) 
20230506-105056(best_acc0.43840423383493876), lr:0.05, alpha:0.5,                   corr=0.4310639282985904(0.023792143137635526) 
20230506-105237(best_acc0.43840423383493876), lr:0.05, alpha:0.9,                   corr=0.4219477826269807(0.032514176051067344) 
