20230506-165212(best_acc0.659386506186727), lr:0.001, alpha:0.1,                   corr=0.659386506186727(0.0022224332167321546) 
20230506-165353(best_acc0.659386506186727), lr:0.001, alpha:0.5,                   corr=0.6582962650916989(0.0023395024773520713) 
20230506-165534(best_acc0.659386506186727), lr:0.001, alpha:0.9,                   corr=0.659314244923394(0.001102309279394919) 
20230506-165715(best_acc0.6595642247366356), lr:0.005, alpha:0.1,                   corr=0.6595642247366356(0.00164475507044767) 
20230506-165857(best_acc0.6595642247366356), lr:0.005, alpha:0.5,                   corr=0.6576507765358003(0.003045284342931216) 
20230506-170038(best_acc0.6597167178941732), lr:0.005, alpha:0.9,                   corr=0.6597167178941732(0.0013499580112371844) 
20230506-170219(best_acc0.6613418510326864), lr:0.01, alpha:0.1,                   corr=0.6613418510326864(0.0013512526527357728) 
20230506-170401(best_acc0.6613418510326864), lr:0.01, alpha:0.5,                   corr=0.6599626371436965(0.0019413848306726374) 
20230506-170542(best_acc0.6613418510326864), lr:0.01, alpha:0.9,                   corr=0.659839131775894(0.0019008027692785558) 
20230506-170724(best_acc0.6662608615326101), lr:0.05, alpha:0.1,                   corr=0.6662608615326101(0.0181810539154691) 
20230506-170905(best_acc0.6662608615326101), lr:0.05, alpha:0.5,                   corr=0.6594752783344993(0.002720906969353715) 
20230506-171046(best_acc0.6662608615326101), lr:0.05, alpha:0.9,                   corr=0.6595532431614974(0.0011270647230253773) 
