20230506-141614(best_acc0.406668974953296), lr:0.001, alpha:0.1,                   corr=0.406668974953296(0.0027919105834668494) 
20230506-141903(best_acc0.40749553180862924), lr:0.001, alpha:0.5,                   corr=0.40749553180862924(0.0011446214544261436) 
20230506-142153(best_acc0.4102228053342604), lr:0.001, alpha:0.9,                   corr=0.4102228053342604(0.005239449874445955) 
20230506-142442(best_acc0.4150206976568171), lr:0.005, alpha:0.1,                   corr=0.4150206976568171(0.005952049873049298) 
20230506-142733(best_acc0.4153033053059706), lr:0.005, alpha:0.5,                   corr=0.4153033053059706(0.006338977411818884) 
20230506-143026(best_acc0.41703620797897994), lr:0.005, alpha:0.9,                   corr=0.41703620797897994(0.005634377996937605) 
20230506-143317(best_acc0.4201829217929398), lr:0.01, alpha:0.1,                   corr=0.4201829217929398(0.006557972999452833) 
20230506-143611(best_acc0.43407863662022966), lr:0.01, alpha:0.5,                   corr=0.43407863662022966(0.018841329262442436) 
20230506-143902(best_acc0.4362208616728783), lr:0.01, alpha:0.9,                   corr=0.4362208616728783(0.015773822464290228) 
20230506-144154(best_acc0.4491009167616049), lr:0.05, alpha:0.1,                   corr=0.4491009167616049(0.01718805120400858) 
20230506-144446(best_acc0.4491009167616049), lr:0.05, alpha:0.5,                   corr=0.44457897567081484(0.015425279912283166) 
20230506-144737(best_acc0.4491009167616049), lr:0.05, alpha:0.9,                   corr=0.43016927362012075(0.01935806885535283) 
