20230506-135509(best_acc0.29266587655967063), lr:0.001, alpha:0.1,                   corr=0.29266587655967063(0.0030713991577589407) 
20230506-135648(best_acc0.29266587655967063), lr:0.001, alpha:0.5,                   corr=0.2903308430867502(0.00250499992307399) 
20230506-135828(best_acc0.29266587655967063), lr:0.001, alpha:0.9,                   corr=0.2918455985727678(0.004051145655163786) 
20230506-140007(best_acc0.2979571720622499), lr:0.005, alpha:0.1,                   corr=0.2979571720622499(0.016573673631745348) 
20230506-140147(best_acc0.32394635622834855), lr:0.005, alpha:0.5,                   corr=0.32394635622834855(0.02872558138569174) 
20230506-140327(best_acc0.32394635622834855), lr:0.005, alpha:0.9,                   corr=0.3235221587060572(0.027543655093358876) 
20230506-140507(best_acc0.32394635622834855), lr:0.01, alpha:0.1,                   corr=0.30329375401249414(0.021354568841906767) 
20230506-140646(best_acc0.33575152879012726), lr:0.01, alpha:0.5,                   corr=0.33575152879012726(0.02782012588749472) 
20230506-140826(best_acc0.33575152879012726), lr:0.01, alpha:0.9,                   corr=0.32684367258915686(0.03054846510138776) 
20230506-141005(best_acc0.35708393653116366), lr:0.05, alpha:0.1,                   corr=0.35708393653116366(0.002395136827708051) 
20230506-141145(best_acc0.35708393653116366), lr:0.05, alpha:0.5,                   corr=0.356711777373038(0.0031654905266410432) 
20230506-141324(best_acc0.35708393653116366), lr:0.05, alpha:0.9,                   corr=0.3294597074150106(0.030458155224487384) 
