20230506-145131(best_acc0.46588487961163205), lr:0.001, alpha:0.1,                   corr=0.46588487961163205(0.0024452469484278396) 
20230506-145523(best_acc0.47258429803297497), lr:0.001, alpha:0.5,                   corr=0.47258429803297497(0.009020827227062747) 
20230506-145916(best_acc0.47258429803297497), lr:0.001, alpha:0.9,                   corr=0.47033719055814266(0.004420338175796959) 
20230506-150308(best_acc0.478902673722488), lr:0.005, alpha:0.1,                   corr=0.478902673722488(0.011335419414842049) 
20230506-150702(best_acc0.47970129152131874), lr:0.005, alpha:0.5,                   corr=0.47970129152131874(0.010174904554152063) 
20230506-151054(best_acc0.48060860066355354), lr:0.005, alpha:0.9,                   corr=0.48060860066355354(0.010548224316921184) 
20230506-151446(best_acc0.4947084006493139), lr:0.01, alpha:0.1,                   corr=0.4947084006493139(0.01437420879479408) 
20230506-151838(best_acc0.4947084006493139), lr:0.01, alpha:0.5,                   corr=0.4941357777283285(0.01794604578484945) 
20230506-152231(best_acc0.5017881296735657), lr:0.01, alpha:0.9,                   corr=0.5017881296735657(0.016479228176238384) 
20230506-152624(best_acc0.5090592594379432), lr:0.05, alpha:0.1,                   corr=0.5090592594379432(0.014599270236293859) 
20230506-153017(best_acc0.5098794246747754), lr:0.05, alpha:0.5,                   corr=0.5098794246747754(0.016371644159449732) 
20230506-153411(best_acc0.5098794246747754), lr:0.05, alpha:0.9,                   corr=0.48861377809097795(0.02255072630743352) 
