20230506-121458(best_acc0.49887231117549363), lr:0.001, alpha:0.1,                   corr=0.49887231117549363(0.0029994255286611665) 
20230506-121638(best_acc0.49915881243347754), lr:0.001, alpha:0.5,                   corr=0.49915881243347754(0.002261741355747188) 
20230506-121818(best_acc0.5012309373190323), lr:0.001, alpha:0.9,                   corr=0.5012309373190323(0.004499806038112854) 
20230506-121958(best_acc0.506978473342196), lr:0.005, alpha:0.1,                   corr=0.506978473342196(0.020222729396161803) 
20230506-122139(best_acc0.528692495980049), lr:0.005, alpha:0.5,                   corr=0.528692495980049(0.03218375431819177) 
20230506-122319(best_acc0.528692495980049), lr:0.005, alpha:0.9,                   corr=0.5191593009846098(0.02808054560442805) 
20230506-122459(best_acc0.528692495980049), lr:0.01, alpha:0.1,                   corr=0.5088712866510627(0.021304190811057777) 
20230506-122639(best_acc0.5391774591382097), lr:0.01, alpha:0.5,                   corr=0.5391774591382097(0.036010915720755036) 
20230506-122819(best_acc0.5391774591382097), lr:0.01, alpha:0.9,                   corr=0.5190444659323152(0.029839711385312367) 
20230506-122959(best_acc0.5714202057395436), lr:0.05, alpha:0.1,                   corr=0.5714202057395436(0.023549419746841525) 
20230506-123139(best_acc0.5791298251348924), lr:0.05, alpha:0.5,                   corr=0.5791298251348924(0.0045026482156454006) 
20230506-123319(best_acc0.5791298251348924), lr:0.05, alpha:0.9,                   corr=0.5628526081098222(0.03160621419764384) 
