20230506-131107(best_acc0.5963883690922914), lr:0.001, alpha:0.1,                   corr=0.5963883690922914(0.004406391552741542) 
20230506-131458(best_acc0.6001657649070544), lr:0.001, alpha:0.5,                   corr=0.6001657649070544(0.004410195698964046) 
20230506-131850(best_acc0.6003996092241735), lr:0.001, alpha:0.9,                   corr=0.6003996092241735(0.0042312302400832925) 
20230506-132241(best_acc0.6049489732946807), lr:0.005, alpha:0.1,                   corr=0.6049489732946807(0.009138225323702003) 
20230506-132632(best_acc0.6116086686961494), lr:0.005, alpha:0.5,                   corr=0.6116086686961494(0.010410842601996866) 
20230506-133023(best_acc0.6118040519360146), lr:0.005, alpha:0.9,                   corr=0.6118040519360146(0.008293387881655246) 
20230506-133414(best_acc0.6118040519360146), lr:0.01, alpha:0.1,                   corr=0.6074777286192302(0.014258791849603958) 
20230506-133805(best_acc0.6275835760882569), lr:0.01, alpha:0.5,                   corr=0.6275835760882569(0.013283655470081446) 
20230506-134156(best_acc0.6295006510565335), lr:0.01, alpha:0.9,                   corr=0.6295006510565335(0.011541839522264518) 
20230506-134547(best_acc0.6444704315290459), lr:0.05, alpha:0.1,                   corr=0.6444704315290459(0.015100588096753284) 
20230506-134938(best_acc0.6444704315290459), lr:0.05, alpha:0.5,                   corr=0.6430533262437352(0.013814701637901291) 
20230506-135329(best_acc0.6444704315290459), lr:0.05, alpha:0.9,                   corr=0.6362991302144952(0.01948247342454055) 
