20230506-055737(best_acc0.4363177631655002), lr:0.005, alpha:0.1,                   corr=0.4363177631655002(0.0065363280460874395) 
20230506-060902(best_acc0.4355809333714954), lr:0.005, alpha:0.5,                   corr=0.4355809333714954(0.006628917149265066) 
20230506-062028(best_acc0.4353287774741103), lr:0.005, alpha:0.9,                   corr=0.4353287774741103(0.006767791002444951) 
20230506-063154(best_acc0.4314592446371411), lr:0.001, alpha:0.1,                   corr=0.4314592446371411(0.004665711213617911) 
20230506-064319(best_acc0.4336855287966733), lr:0.001, alpha:0.5,                   corr=0.4336855287966733(0.005989289310686717) 
20230506-065445(best_acc0.43152673051793505), lr:0.001, alpha:0.9,                   corr=0.43152673051793505(0.003976040067532499) 
20230506-070613(best_acc0.4443189929010728), lr:0.01, alpha:0.1,                   corr=0.4443189929010728(0.011082923944317381) 
20230506-071738(best_acc0.4436401330708161), lr:0.01, alpha:0.5,                   corr=0.4436401330708161(0.010262697637285864) 
20230506-072904(best_acc0.44528321719133845), lr:0.01, alpha:0.9,                   corr=0.44528321719133845(0.012781684735560014) 
20230506-074028(best_acc0.4578773941014223), lr:0.05, alpha:0.1,                   corr=0.4578773941014223(0.010405119466328895) 
20230506-075153(best_acc0.4533399768632251), lr:0.05, alpha:0.5,                   corr=0.4533399768632251(0.01489503941336352) 
20230506-080319(best_acc0.441569471707039), lr:0.05, alpha:0.9,                   corr=0.441569471707039(0.011655877743102958) 
20230506-094932(best_acc0.43033408365758774), lr:0.001, alpha:0.1,                   corr=0.43033408365758774(0.002132196675405647) 
20230506-095324(best_acc0.435128472622113), lr:0.001, alpha:0.5,                   corr=0.435128472622113(0.004716279041817066) 
20230506-095717(best_acc0.435128472622113), lr:0.001, alpha:0.9,                   corr=0.43115028996503996(0.0019101196132193293) 
20230506-100110(best_acc0.4362509746163636), lr:0.005, alpha:0.1,                   corr=0.4362509746163636(0.005617920369675445) 
20230506-100506(best_acc0.4362509746163636), lr:0.005, alpha:0.5,                   corr=0.43476605314907035(0.0075060496806349354) 
20230506-100859(best_acc0.4362509746163636), lr:0.005, alpha:0.9,                   corr=0.4310510610885599(0.00662178800872255) 
20230506-101252(best_acc0.43953775488052294), lr:0.01, alpha:0.1,                   corr=0.43953775488052294(0.006488579819345425) 
20230506-101646(best_acc0.443195004525493), lr:0.01, alpha:0.5,                   corr=0.443195004525493(0.00933843544304122) 
20230506-102040(best_acc0.4456797298423725), lr:0.01, alpha:0.9,                   corr=0.4456797298423725(0.011353076373523088) 
20230506-102434(best_acc0.4630651058387965), lr:0.05, alpha:0.1,                   corr=0.4630651058387965(0.012835107265754604) 
20230506-102826(best_acc0.4630651058387965), lr:0.05, alpha:0.5,                   corr=0.45163014582397754(0.012557726855009131) 
20230506-103220(best_acc0.4630651058387965), lr:0.05, alpha:0.9,                   corr=0.44716530269053195(0.01378119956819702) 
