20230506-105529(best_acc0.45726931886938926), lr:0.001, alpha:0.1,                   corr=0.45726931886938926(0.0036794086147907616) 
20230506-105822(best_acc0.45864982407523547), lr:0.001, alpha:0.5,                   corr=0.45864982407523547(0.0030550234616768747) 
20230506-110116(best_acc0.45864982407523547), lr:0.001, alpha:0.9,                   corr=0.458607284331115(0.0027994854345224037) 
20230506-110408(best_acc0.46457776824693103), lr:0.005, alpha:0.1,                   corr=0.46457776824693103(0.006164120988570236) 
20230506-110701(best_acc0.4671575526414443), lr:0.005, alpha:0.5,                   corr=0.4671575526414443(0.00937554820947903) 
20230506-110952(best_acc0.4671575526414443), lr:0.005, alpha:0.9,                   corr=0.4658658234250755(0.013456486322645168) 
20230506-111244(best_acc0.4802039366045096), lr:0.01, alpha:0.1,                   corr=0.4802039366045096(0.018218457615044373) 
20230506-111539(best_acc0.4802039366045096), lr:0.01, alpha:0.5,                   corr=0.46881647975448165(0.013527937946775882) 
20230506-111832(best_acc0.49416392056260516), lr:0.01, alpha:0.9,                   corr=0.49416392056260516(0.018209816223203088) 
20230506-112123(best_acc0.49802906054248847), lr:0.05, alpha:0.1,                   corr=0.49802906054248847(0.0193706993471946) 
20230506-112413(best_acc0.5104525224203229), lr:0.05, alpha:0.5,                   corr=0.5104525224203229(0.003608862086696301) 
20230506-112703(best_acc0.5104525224203229), lr:0.05, alpha:0.9,                   corr=0.4902212022649005(0.02429844742215215) 
